ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
29.430939433149042	111.114	17.66756032171582	96.84986595174263	80.86058981233244	60.7598672444245	64	8363	292	35.0	272.0	229.0	27	6.0	8.0	6.0	0	151	0	13.24978756904602	32500	433.7139837741852	13789	57.572307692307696	
30.032518808101003	112.9	17.752604166666668	98.81510416666667	82.5859375	60.7598672444245	65	8480	292	29.0	239.0	201.0	31	3.0	3.0	2.0	0	151	0	11.102656126022339	33000	444.8166399002075	14017	57.52424242424242	
29.29178558492388	109.592	17.86631016042781	100.89839572192513	84.43582887700535	60.7598672444245	66	8607	258	32.0	282.0	236.0	15	3.0	3.0	2.0	0	152	0	11.983774185180664	33500	456.8004140853882	14261	57.429850746268656	
27.89496393344654	112.916	17.594086021505376	99.25537634408602	83.00268817204301	60.7598672444245	67	8736	244	29.0	253.0	215.0	11	3.0	3.0	2.0	0	152	0	15.85169005393982	34000	472.652104139328	14501	57.35	
28.327885116413444	116.468	17.624324324324323	100.62162162162163	84.22162162162162	63.3216187749793	68	8867	264	34.0	261.0	220.0	15	3.0	3.0	2.0	0	152	0	14.838997602462769	34500	487.49110174179077	14756	57.22898550724638	
29.964382690932425	114.276	18.080862533692724	101.91644204851752	85.22911051212938	63.325514209764705	69	8997	256	42.0	261.0	220.0	27	3.0	3.0	2.0	0	152	0	12.08019757270813	35000	499.5712993144989	14996	57.15428571428571	
28.74248931344836	112.954	18.028947368421054	98.40789473684211	82.47631578947369	63.325514209764705	70	9118	235	45.0	266.0	226.0	34	3.0	3.0	2.0	0	152	0	14.343730449676514	35500	513.9150297641754	15249	57.04507042253521	
29.106115859702733	112.012	17.72972972972973	93.8108108108108	78.6054054054054	63.325514209764705	71	9249	235	42.0	258.0	219.0	27	3.0	3.0	2.0	0	152	0	11.23080563545227	36000	525.1458353996277	15499	56.94722222222222	
28.370716233452146	111.256	17.575520833333332	90.42447916666667	75.74739583333333	63.325514209764705	72	9366	232	42.0	258.0	219.0	16	3.0	3.0	2.0	0	152	0	11.236078262329102	36500	536.3819136619568	15734	56.89315068493151	
27.449194226916113	109.25	17.53280839895013	88.26771653543307	74.00262467191601	63.325514209764705	73	9486	240	34.0	216.0	184.0	11	3.0	3.0	2.0	0	152	0	20.20873236656189	37000	556.5906460285187	15996	56.76756756756757	
